projectRcn;projectID;projectAcronym;role;id;name;shortName;activityType;endOfParticipation;ecContribution;country;street;city;postCode;organizationUrl;vatNumber;contactForm;contactType;contactTitle;contactFirstNames;contactLastNames;contactFunction;contactTelephoneNumber;contactFaxNumber
11881;EV4V0111;EROS 2000;participant;999974359;UNIVERSITY COLLEGE DUBLIN;;HES;;;IE;Belfield;Dublin;4;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;166399;UNIVERSITY OF WALES - BANGOR;;HES;;;UK;Askew Street;GWYNEDD;LL59 5EY;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999975329;University of Southampton;;;;;UK;European Way;Southampton;SO14 3ZH;;;;;;;;;;
11881;EV4V0111;EROS 2000;coordinator;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);;;;;FR;1 rue Maurice Arnoux;Montrouge;92120;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999979500;Consiglio Nazionale delle Ricerche (CNR);;;;;IT;101,Via Gobetti 101;Bologna;40129;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;196844;NATIONAL RESEARCH COUNCIL OF ITALY;;;;;IT;Area della Ricerca, Via Alfieri 1;MEZZANA;56010;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999017694;Consejo Superior de Investigaciones Cientenficas;;;;;ES;18-26,Jordi Girona;Barcelona;8034;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999992983;INSTITUTO SUPERIOR TECNICO;;HES;;;PT;Avenida Rovisco Pais, Pav. Mecanica 1-2°;LISBOA;1049-001;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999013971;FORSCHUNGSZENTRUM JUELICH GMBH;JÜLICH;;;;DE;WILHELM JOHNEN STRASSE;JUELICH;52425;http://www.fz-juelich.de;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;110376;Netherlands Institute for Sea Research;;;;;NL;;Texel, Den Burg;1790 AB;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;110247;UNIVERSITY OF AARHUS;;HES;;;DK;1,Nordre Ringgade 1-3;AARHUS C;8000;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999011898;UNIVERSITY OF ATHENS;;HES;;;EL;CHRISTOU LADA STREET 6;ATHENS;10561;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;137205;UNIVERSITY OF HAMBURG;;HES;;;DE;Moorweidenstrasse, 18;HAMBURG;20148;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999986290;UNIVERSITE LIBRE DE BRUXELLES;;HES;;;BE;Boulevard du Triomphe Campus de la Plaine;BRUXELLES;1050;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999976105;UNIVERSITE DE LIEGE;;HES;;;BE;PLACE DU 20 AOUT 7;LIEGE;4000;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;999980567;UNIVERSITY OF LIVERPOOL;;HES;;;UK;Bedford Street North;LIVERPOOL;L69 3BX;;;;;;;;;;
11881;EV4V0111;EROS 2000;participant;47415;NERC Centre of Coastal and Marine Sciences;;;;;UK;"Prospect Place
West Hoe";Plymouth;PL1 3DH;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;19;Instituto y Observatorio de la Marina;;;;;ES;;San Fernando;11100;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;997835994;INSTITUTO DE METEOROLOGIA;;;;;PT;Rua C do Aeroporto de Lisboa;LISBOA;1749-077;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;999874546;UNIVERSIDAD COMPLUTENSE DE MADRID;;;;;ES;2,Avenida de Seneca 2, Ciudad Universitaria;MADRID;28040;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;110571;WISE & MUNRO LEARNING RESEARCH;;;;;NL;8,Azaleastraat 85;DEN HAAG;2565 CD;http://wisemunro.org/wp;;;;;;;;;
28481;ST2*0389;ILIHA;participant;999997930;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS);;;;;FR;4 place Jussieu;Paris;75252;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;999979500;Consiglio Nazionale delle Ricerche (CNR);;;;;IT;Via Ampere 56;Milano;20131;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;999974359;UNIVERSITY COLLEGE DUBLIN;DIAS;HES;;;IE;Burlington Road;DUBLIN;;http://www.dias.ie;;;;;;;;;
28481;ST2*0389;ILIHA;participant;928100172;Generalitat de Catalunya;;;;;ES;71,Paral. Lel;Barcelona;8004;;;;;;;;;;
28481;ST2*0389;ILIHA;coordinator;21;Instituto Geografico Nacional;;;;;ES;3,General Ibáñez de Ibero;Madrid;28003;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;22;Instituto Nacional de Investigação Científica;;;;;PT;137,Av. Elias Garcia;Lisboa;1000;;;;;;;;;;
28481;ST2*0389;ILIHA;participant;999986387;UNIVERSITAT DE BARCELONA;UB;;;;ES;GRAN VIA DE LES CORTS CATALANES 585;BARCELONA;;http://www.ub.edu;;;;;;;;;
